dropout,hidden_dim,Endpoint,AUC,AUPR
0.2,24,3,0.5665675675675677,0.0475210322900263
0.2,24,6,0.49902817603263555,0.08392696035674166
0.2,24,12,0.5311206882172519,0.18456622545203588
0.2,24,36,0.5119305216243012,0.4249681066347196
0.2,24,60,0.48709277265437045,0.5725130230990885
0.2,48,3,0.6068958596495585,0.0502878288288993
0.2,48,6,0.5271622272680636,0.08200143329857458
0.2,48,12,0.5500594692387966,0.18692596349893414
0.2,48,36,0.5193347389834608,0.41833454233964534
0.2,48,60,0.5021718941209997,0.5787130199290627
0.5,24,3,0.5653659043659044,0.046637769312039765
0.5,24,6,0.4992124055625705,0.08304965476701756
0.5,24,12,0.5312519397194664,0.18443130895205848
0.5,24,36,0.5114752490013124,0.42526528628775495
0.5,24,60,0.48640938251804333,0.5721692048406204
0.5,48,3,0.6060258077464622,0.050323770208777055
0.5,48,6,0.5275481003002225,0.08229147230266909
0.5,48,12,0.5502670015977187,0.18657160351823204
0.5,48,36,0.5204721689040472,0.42008673169461813
0.5,48,60,0.5033765275845306,0.5802437437201917
